u,D1,D2,Prege,,,,,,,,,,mean
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,0.1,0,3.65868E-06,3.71373E-06,3.50429E-06,3.43415E-06,3.50429E-06,3.53691E-06,3.52054E-06,3.50429E-06,3.50429E-06,3.50429E-06,3.53855E-06
0.1,0.2,0,3.96609E-05,3.93494E-05,3.92351E-05,3.89292E-05,3.85509E-05,3.87394E-05,3.85509E-05,3.85509E-05,3.85509E-05,3.87394E-05,3.88857E-05
0.15,0.3,0,0.000122243,0.000115173,0.000113991,0.000113443,0.000113991,0.000113407,0.000113443,0.000113407,0.000113991,0.000113991,0.000114708
0.2,0.4,0,0.000245053,0.000225368,0.000225368,0.00022618,0.000225368,0.00022618,0.000224962,0.000226592,0.000225368,0.000224962,0.00022754
0.25,0.5,0,0.00041431,0.00038718,0.000389385,0.000386104,0.00038718,0.000384994,0.00038718,0.000383885,0.000384994,0.000384994,0.00038902
0.3,0.6,0,0.000617956,0.000582449,0.000581021,0.000574199,0.000576176,0.000577595,0.000581021,0.000577595,0.000572789,0.00057476,0.000581556
0.35,0.7,0,0.000878815,0.000855758,0.00084704,0.000852282,0.000845414,0.00084704,0.000854087,0.000840066,0.000850479,0.00084704,0.000851802
0.4,0.8,0,0.001159848,0.001126147,0.001128301,0.001135576,0.001130457,0.001125383,0.001133408,0.001125383,0.001128301,0.001118956,0.001131176
0.45,0.9,0,0.001500897,0.001487071,0.001464734,0.001479309,0.001466855,0.00146173,0.001464734,0.00146942,0.001447407,0.001462181,0.001470434
0.5,1,0,0.002084432,0.002092431,0.002068525,0.001999164,0.001996002,0.002021342,0.001975683,0.001994313,0.001996002,0.001986531,0.002021442
0.55,1,0.1,0.00182393,0.001863058,0.001810997,0.001791024,0.001775112,0.001775112,0.001781186,0.001750367,0.001750367,0.001766021,0.001788717
0.6,1,0.2,0.001631477,0.001546678,0.001514482,0.001503146,0.001486171,0.001483292,0.001485752,0.001466566,0.001483292,0.00146894,0.00150698
0.65,1,0.3,0.001291123,0.001195454,0.001175603,0.001199184,0.001174083,0.001170308,0.001170308,0.001167664,0.001157121,0.001142026,0.001184287
0.7,1,0.4,0.001006131,0.000946378,0.000914304,0.000909409,0.000883168,0.000880884,0.000878536,0.000894995,0.000885531,0.000890228,0.000908956
0.75,1,0.5,0.000726527,0.000687248,0.000653539,0.000656822,0.000646129,0.000639912,0.000636766,0.000630618,0.000628576,0.000631668,0.000653781
0.8,1,0.6,0.000520974,0.000490219,0.000435122,0.000431514,0.000436864,0.000440707,0.000440532,0.000438942,0.000440532,0.000433526,0.000450893
0.85,1,0.7,0.000333723,0.000319739,0.000287254,0.000278021,0.000280426,0.000284322,0.00027707,0.000272812,0.000271401,0.00027659,0.000288136
0.9,1,0.8,0.000190385,0.000189113,0.000165423,0.00015998,0.000158871,0.000162828,0.000156665,0.000161699,0.000157485,0.000156389,0.000165884
0.95,1,0.9,8.74201E-05,8.65348E-05,7.4685E-05,7.32256E-05,7.1266E-05,7.26774E-05,7.17936E-05,7.11474E-05,7.1266E-05,7.05099E-05,7.50526E-05
1,1,1,1.13662E-05,1.2059E-05,9.51712E-06,9.42742E-06,9.25178E-06,8.88594E-06,8.80374E-06,8.9693E-06,8.88594E-06,9.05384E-06,9.62202E-06
